defined_class	defined_class_label	chromosomal_region	chromosomal_region_label
http://purl.obolibrary.org/obo/MONDO_0017180	10q22.3q23.3 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr10q22.3-q23.3	10q22.3-q23.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0017580	11p15.4 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr11p15.4	11p15.4 (Human)
http://purl.obolibrary.org/obo/MONDO_0016835	14q11.2 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr14q11.2	14q11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0012081	15q11q13 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr15q11-q13	15q11-q13 (Human)
http://purl.obolibrary.org/obo/MONDO_0016834	16p11.2p12.2 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p11.2-p12.2	16p11.2-p12.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0044621	16p12.1p12.3 triplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p12.1-p12.3	16p12.1-p12.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0016837	16p13.11 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p13.11	16p13.11 (Human)
http://purl.obolibrary.org/obo/MONDO_0015350	17q11.2 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr17q11.2	17q11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0018658	19p13.3 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr19p13.3	19p13.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0018204	20q11.2 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr20q11.2	20q11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0017786	2q23.1 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q23.1	2q23.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0017412	2q31.1 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q31.1	2q31.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0019878	3q26 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr3q26	3q26 (Human)
http://purl.obolibrary.org/obo/MONDO_0019873	4p16.3 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr4p16.3	4p16.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0016461	5q35 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr5q35	5q35 (Human)
http://purl.obolibrary.org/obo/MONDO_0017792	7p22.1 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr7p22.1	7p22.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0012342	7q11.23 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr7q11.23	7q11.23 (Human)
http://purl.obolibrary.org/obo/MONDO_0016659	8p23.1 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr8p23.1	8p23.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0016458	8q12 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr8q12	8q12 (Human)
http://purl.obolibrary.org/obo/MONDO_0017284	Xp22.13p22.2 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chrXp22.13-p22.2	Xp22.13-p22.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0017794	Xq12-q13.3 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chrXq12-q13.3	Xq12-q13.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0010507	Xq25 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chrXq25	Xq25 (Human)
http://purl.obolibrary.org/obo/MONDO_0010467	Xq27.3q28 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chrXq27.3-q28	Xq27.3-q28 (Human)
http://purl.obolibrary.org/obo/MONDO_0022173	chromosome 11q trisomy	http://purl.obolibrary.org/obo/CHR_9606-chr11q	11q (Human)
http://purl.obolibrary.org/obo/MONDO_0022746	chromosome 13p duplication	http://purl.obolibrary.org/obo/CHR_9606-chr13p	13p (Human)
http://purl.obolibrary.org/obo/MONDO_0022177	chromosome 13q trisomy	http://purl.obolibrary.org/obo/CHR_9606-chr13q	13q (Human)
http://purl.obolibrary.org/obo/MONDO_0013847	chromosome 16p11.2 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p11.2	16p11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0013273	chromosome 16p13.3 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p13.3	16p13.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0013182	chromosome 17p13.3 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr17p13.3	17p13.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0013796	chromosome 17q12 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr17q12	17q12 (Human)
http://purl.obolibrary.org/obo/MONDO_0013298	chromosome 17q21.31 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr17q21.31	17q21.31 (Human)
http://purl.obolibrary.org/obo/MONDO_0012915	chromosome 1q21.1 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1q21.1	1q21.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0012020	chromosome 22q11.2 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr22q11.2	22q11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0014235	chromosome 22q13 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr22q13	22q13 (Human)
http://purl.obolibrary.org/obo/MONDO_0012761	chromosome 3q29 microduplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr3q29	3q29 (Human)
http://purl.obolibrary.org/obo/MONDO_0013169	chromosome 5p13 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr5p13	5p13 (Human)
http://purl.obolibrary.org/obo/MONDO_0010436	chromosome Xq28 duplication syndrome	http://purl.obolibrary.org/obo/CHR_9606-chrXq28	Xq28 (Human)
http://purl.obolibrary.org/obo/MONDO_0016952	partial duplication of the long arm of chromosome 1	http://purl.obolibrary.org/obo/CHR_9606-chr1q	1q (Human)
http://purl.obolibrary.org/obo/MONDO_0016961	partial duplication of the long arm of chromosome 10	http://purl.obolibrary.org/obo/CHR_9606-chr10q	10q (Human)
http://purl.obolibrary.org/obo/MONDO_0042969	partial duplication of the long arm of chromosome 12	http://purl.obolibrary.org/obo/CHR_9606-chr12q	12q (Human)
http://purl.obolibrary.org/obo/MONDO_0016964	partial duplication of the long arm of chromosome 14	http://purl.obolibrary.org/obo/CHR_9606-chr14q	14q (Human)
http://purl.obolibrary.org/obo/MONDO_0016965	partial duplication of the long arm of chromosome 15	http://purl.obolibrary.org/obo/CHR_9606-chr15q	15q (Human)
http://purl.obolibrary.org/obo/MONDO_0016967	partial duplication of the long arm of chromosome 17	http://purl.obolibrary.org/obo/CHR_9606-chr17q	17q (Human)
http://purl.obolibrary.org/obo/MONDO_0016969	partial duplication of the long arm of chromosome 19	http://purl.obolibrary.org/obo/CHR_9606-chr19q	19q (Human)
http://purl.obolibrary.org/obo/MONDO_0016953	partial duplication of the long arm of chromosome 2	http://purl.obolibrary.org/obo/CHR_9606-chr2q	2q (Human)
http://purl.obolibrary.org/obo/MONDO_0016972	partial duplication of the long arm of chromosome 22	http://purl.obolibrary.org/obo/CHR_9606-chr22q	22q (Human)
http://purl.obolibrary.org/obo/MONDO_0016954	partial duplication of the long arm of chromosome 3	http://purl.obolibrary.org/obo/CHR_9606-chr3q	3q (Human)
http://purl.obolibrary.org/obo/MONDO_0016955	partial duplication of the long arm of chromosome 4	http://purl.obolibrary.org/obo/CHR_9606-chr4q	4q (Human)
http://purl.obolibrary.org/obo/MONDO_0016957	partial duplication of the long arm of chromosome 6	http://purl.obolibrary.org/obo/CHR_9606-chr6q	6q (Human)
http://purl.obolibrary.org/obo/MONDO_0016958	partial duplication of the long arm of chromosome 7	http://purl.obolibrary.org/obo/CHR_9606-chr7q	7q (Human)
http://purl.obolibrary.org/obo/MONDO_0016959	partial duplication of the long arm of chromosome 8	http://purl.obolibrary.org/obo/CHR_9606-chr8q	8q (Human)
http://purl.obolibrary.org/obo/MONDO_0017010	partial duplication of the long arm of chromosome X	http://purl.obolibrary.org/obo/CHR_9606-chrXq	Xq (Human)
http://purl.obolibrary.org/obo/MONDO_0017012	partial duplication of the short arm of chromosome 1	http://purl.obolibrary.org/obo/CHR_9606-chr1p	1p (Human)
http://purl.obolibrary.org/obo/MONDO_0016947	partial duplication of the short arm of chromosome 10	http://purl.obolibrary.org/obo/CHR_9606-chr10p	10p (Human)
http://purl.obolibrary.org/obo/MONDO_0016948	partial duplication of the short arm of chromosome 11	http://purl.obolibrary.org/obo/CHR_9606-chr11p	11p (Human)
http://purl.obolibrary.org/obo/MONDO_0016949	partial duplication of the short arm of chromosome 16	http://purl.obolibrary.org/obo/CHR_9606-chr16p	16p (Human)
http://purl.obolibrary.org/obo/MONDO_0016950	partial duplication of the short arm of chromosome 17	http://purl.obolibrary.org/obo/CHR_9606-chr17p	17p (Human)
http://purl.obolibrary.org/obo/MONDO_0018659	partial duplication of the short arm of chromosome 19	http://purl.obolibrary.org/obo/CHR_9606-chr19p	19p (Human)
http://purl.obolibrary.org/obo/MONDO_0016939	partial duplication of the short arm of chromosome 2	http://purl.obolibrary.org/obo/CHR_9606-chr2p	2p (Human)
http://purl.obolibrary.org/obo/MONDO_0016940	partial duplication of the short arm of chromosome 3	http://purl.obolibrary.org/obo/CHR_9606-chr3p	3p (Human)
http://purl.obolibrary.org/obo/MONDO_0016941	partial duplication of the short arm of chromosome 4	http://purl.obolibrary.org/obo/CHR_9606-chr4p	4p (Human)
http://purl.obolibrary.org/obo/MONDO_0016943	partial duplication of the short arm of chromosome 6	http://purl.obolibrary.org/obo/CHR_9606-chr6p	6p (Human)
http://purl.obolibrary.org/obo/MONDO_0016944	partial duplication of the short arm of chromosome 7	http://purl.obolibrary.org/obo/CHR_9606-chr7p	7p (Human)
http://purl.obolibrary.org/obo/MONDO_0016945	partial duplication of the short arm of chromosome 8	http://purl.obolibrary.org/obo/CHR_9606-chr8p	8p (Human)
http://purl.obolibrary.org/obo/MONDO_0017009	partial duplication of the short arm of chromosome X	http://purl.obolibrary.org/obo/CHR_9606-chrXp	Xp (Human)
http://purl.obolibrary.org/obo/MONDO_0016966	partial trisomy of the long arm of chromosome 16	http://purl.obolibrary.org/obo/CHR_9606-chr16q	16q (Human)
http://purl.obolibrary.org/obo/MONDO_0016968	partial trisomy of the long arm of chromosome 18	http://purl.obolibrary.org/obo/CHR_9606-chr18q	18q (Human)
http://purl.obolibrary.org/obo/MONDO_0016970	partial trisomy of the long arm of chromosome 20	http://purl.obolibrary.org/obo/CHR_9606-chr20q	20q (Human)
http://purl.obolibrary.org/obo/MONDO_0016956	partial trisomy of the long arm of chromosome 5	http://purl.obolibrary.org/obo/CHR_9606-chr5q	5q (Human)
http://purl.obolibrary.org/obo/MONDO_0016960	partial trisomy of the long arm of chromosome 9	http://purl.obolibrary.org/obo/CHR_9606-chr9q	9q (Human)
http://purl.obolibrary.org/obo/MONDO_0016946	partial trisomy of the short arm of chromosome 9	http://purl.obolibrary.org/obo/CHR_9606-chr9p	9p (Human)
