defined_class	defined_class_label	process	process_label
http://purl.obolibrary.org/obo/MONDO_0012996	AGAT deficiency	http://purl.obolibrary.org/obo/GO_0015068	glycine amidinotransferase activity
http://purl.obolibrary.org/obo/MONDO_0021190	DNA repair disease	http://purl.obolibrary.org/obo/GO_0006281	DNA repair
http://purl.obolibrary.org/obo/MONDO_0018274	GM3 synthase deficiency	http://purl.obolibrary.org/obo/GO_0047291	lactosylceramide alpha-2,3-sialyltransferase activity
http://purl.obolibrary.org/obo/MONDO_0021060	RASopathy	http://purl.obolibrary.org/obo/GO_0007265	Ras protein signal transduction
http://purl.obolibrary.org/obo/MONDO_0005271	allergic disease	http://purl.obolibrary.org/obo/GO_0016068	type I hypersensitivity
http://purl.obolibrary.org/obo/MONDO_0017779	alpha-N-acetylgalactosaminidase deficiency	http://purl.obolibrary.org/obo/GO_0008456	alpha-N-acetylgalactosaminidase activity
http://purl.obolibrary.org/obo/MONDO_0037871	amino acid metabolism disease	http://purl.obolibrary.org/obo/GO_0006520	cellular amino acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0024422	auditory perceptual disorders	http://purl.obolibrary.org/obo/GO_0007605	sensory perception of sound
http://purl.obolibrary.org/obo/MONDO_0005497	bone development disease	http://purl.obolibrary.org/obo/GO_0060348	bone development
http://purl.obolibrary.org/obo/MONDO_0022606	branchial arch disease	http://purl.obolibrary.org/obo/GO_0060037	pharyngeal system development
http://purl.obolibrary.org/obo/MONDO_0037792	carbohydrate metabolism disease	http://purl.obolibrary.org/obo/GO_0005975	carbohydrate metabolic process
http://purl.obolibrary.org/obo/MONDO_0045015	carbohydrate transport disease	http://purl.obolibrary.org/obo/GO_0008643	carbohydrate transport
http://purl.obolibrary.org/obo/MONDO_0045017	cholesterol biosynthetic process disease	http://purl.obolibrary.org/obo/GO_0006695	cholesterol biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0045016	cholesterol catabolic process disease	http://purl.obolibrary.org/obo/GO_0006707	cholesterol catabolic process
http://purl.obolibrary.org/obo/MONDO_0045008	cholesterol metabolism disease	http://purl.obolibrary.org/obo/GO_0008203	cholesterol metabolic process
http://purl.obolibrary.org/obo/MONDO_0003832	complement deficiency	http://purl.obolibrary.org/obo/GO_0006956	complement activation
http://purl.obolibrary.org/obo/MONDO_0024239	congenital anomaly of cardiovascular system	http://purl.obolibrary.org/obo/GO_0072359	circulatory system development
http://purl.obolibrary.org/obo/MONDO_0019512	congenital heart malformation	http://purl.obolibrary.org/obo/GO_0007507	heart development
http://purl.obolibrary.org/obo/MONDO_0045018	creatine biosynthetic process disease	http://purl.obolibrary.org/obo/GO_0006601	creatine biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0022919	cytokine receptor deficiency	http://purl.obolibrary.org/obo/GO_0004896	cytokine receptor activity
http://purl.obolibrary.org/obo/MONDO_0022953	delta-1-pyrroline-5-carboxylate dehydrogenase deficiency	http://purl.obolibrary.org/obo/GO_0003842	1-pyrroline-5-carboxylate dehydrogenase activity
http://purl.obolibrary.org/obo/MONDO_0019755	developmental defect during embryogenesis	http://purl.obolibrary.org/obo/GO_0048598	embryonic morphogenesis
http://purl.obolibrary.org/obo/MONDO_0002145	difference of sexual differentiation	http://purl.obolibrary.org/obo/GO_0007548	sex differentiation
http://purl.obolibrary.org/obo/MONDO_0009862	dihydropteridine reductase deficiency	http://purl.obolibrary.org/obo/GO_0004155	6,7-dihydropteridine reductase activity
http://purl.obolibrary.org/obo/MONDO_0011610	dimethylglycine dehydrogenase deficiency	http://purl.obolibrary.org/obo/GO_0047865	dimethylglycine dehydrogenase activity
http://purl.obolibrary.org/obo/MONDO_0024321	disorder of GPI anchor biosynthesis	http://purl.obolibrary.org/obo/GO_0006506	GPI anchor biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0042970	disorder of glutamate decarboxylase	http://purl.obolibrary.org/obo/GO_0004351	glutamate decarboxylase activity
http://purl.obolibrary.org/obo/MONDO_0024322	disorder of glycosylation	http://purl.obolibrary.org/obo/GO_0070085	glycosylation
http://purl.obolibrary.org/obo/MONDO_0044209	disorder of lectin complement activation pathway	http://purl.obolibrary.org/obo/GO_0001867	complement activation, lectin pathway
http://purl.obolibrary.org/obo/MONDO_0045022	disorder of organic acid metabolism	http://purl.obolibrary.org/obo/GO_0006082	organic acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0017740	disorder of protein N-glycosylation	http://purl.obolibrary.org/obo/GO_0006487	protein N-linked glycosylation
http://purl.obolibrary.org/obo/MONDO_0017741	disorder of protein O-glycosylation	http://purl.obolibrary.org/obo/GO_0006493	protein O-linked glycosylation
http://purl.obolibrary.org/obo/MONDO_0037807	glycerol metabolism disease	http://purl.obolibrary.org/obo/GO_0006071	glycerol metabolic process
http://purl.obolibrary.org/obo/MONDO_0045020	glycine metabolism disease	http://purl.obolibrary.org/obo/GO_0006544	glycine metabolic process
http://purl.obolibrary.org/obo/MONDO_0045010	glycoprotein metabolism disease	http://purl.obolibrary.org/obo/GO_0009100	glycoprotein metabolic process
http://purl.obolibrary.org/obo/MONDO_0012999	guanidinoacetate methyltransferase deficiency	http://purl.obolibrary.org/obo/GO_0030731	guanidinoacetate N-methyltransferase activity
http://purl.obolibrary.org/obo/MONDO_0004738	histidine metabolism disease	http://purl.obolibrary.org/obo/GO_0006547	histidine metabolic process
http://purl.obolibrary.org/obo/MONDO_0021189	intestinal motility disease	http://purl.obolibrary.org/obo/GO_0120054	intestinal motility
http://purl.obolibrary.org/obo/MONDO_0100004	mast cell activation syndrome	http://purl.obolibrary.org/obo/GO_0045576	mast cell activation
http://purl.obolibrary.org/obo/MONDO_0005084	mental disorder	http://purl.obolibrary.org/obo/MF_0000020	mental process
http://purl.obolibrary.org/obo/MONDO_0005066	metabolic disease	http://purl.obolibrary.org/obo/GO_0008152	metabolic process
http://purl.obolibrary.org/obo/MONDO_0017059	neural tube closure defect	http://purl.obolibrary.org/obo/GO_0001843	neural tube closure
http://purl.obolibrary.org/obo/MONDO_0021635	neurocristopathy	http://purl.obolibrary.org/obo/GO_0014032	neural crest cell development
http://purl.obolibrary.org/obo/MONDO_0037821	porphyrin metabolism disease	http://purl.obolibrary.org/obo/GO_0006778	porphyrin-containing compound metabolic process
http://purl.obolibrary.org/obo/MONDO_0037829	purine metabolism disease	http://purl.obolibrary.org/obo/GO_0006144	purine nucleobase metabolic process
http://purl.obolibrary.org/obo/MONDO_0037937	pyrimidine metabolism disease	http://purl.obolibrary.org/obo/GO_0006206	pyrimidine nucleobase metabolic process
http://purl.obolibrary.org/obo/MONDO_0006510	renal tubular transport disease	http://purl.obolibrary.org/obo/GO_0070293	renal absorption
http://purl.obolibrary.org/obo/MONDO_0008891	riboflavin transporter deficiency	http://purl.obolibrary.org/obo/GO_0032217	riboflavin transmembrane transporter activity
http://purl.obolibrary.org/obo/MONDO_0045012	steroid metabolism disease	http://purl.obolibrary.org/obo/GO_0008202	steroid metabolic process
http://purl.obolibrary.org/obo/MONDO_0056803	sulfur metabolism disease	http://purl.obolibrary.org/obo/GO_0006790	sulfur compound metabolic process
http://purl.obolibrary.org/obo/MONDO_0045014	tetrahydrobiopterin metabolic process disease	http://purl.obolibrary.org/obo/GO_0046146	tetrahydrobiopterin metabolic process
http://purl.obolibrary.org/obo/MONDO_0025512	type II hypersensitivity reaction disease	http://purl.obolibrary.org/obo/GO_0002445	type II hypersensitivity
http://purl.obolibrary.org/obo/MONDO_0007004	type III hypersensitivity disease	http://purl.obolibrary.org/obo/GO_0001802	type III hypersensitivity
http://purl.obolibrary.org/obo/MONDO_0002459	type IV hypersensitivity disease	http://purl.obolibrary.org/obo/GO_0001806	type IV hypersensitivity
http://purl.obolibrary.org/obo/MONDO_0037870	valine metabolism disease	http://purl.obolibrary.org/obo/GO_0006573	valine metabolic process
